TOT_POP,MEDHHINC_2018,Total Hospitals (2019),Obesity_prevalence,diabetes_prevalence,Child_Poverty_Index
16939.0,68724.0,0.190913846,35.6,11.5,9.8
51859.0,72111.0,0.584485573,34.8,11.7,10.95
4165.0,34024.0,0.269094969,46.8,18.4,39.05
6392.0,51280.0,0.093814967,35.4,11.3,14.05
48518.0,66056.0,1.14009214,35.3,13.0,13.0
153337.625,53419.0,2.505358247,30.3,10.5,19.65
14040.0,51241.0,0.193526768,34.8,15.9,23.3
153337.625,60627.0,2.9057676592500004,31.3,11.1,16.75
104954.0,71374.0,2.090016865,32.3,10.5,10.45
20015.0,44475.0,0.955548763,38.0,14.0,21.6
27811.0,47858.0,0.881639703,35.3,13.6,18.9
5802.0,56451.0,0.276996948,38.0,12.4,12.7
8276.0,59938.0,0.187313932,37.8,11.3,11.15
50574.0,36760.0,0.545502243,42.0,19.3,32.45
77516.0,53917.0,1.128322555,34.6,12.4,20.65
28494.0,67269.0,0.644915801,33.2,9.7,8.05
81352.0,70807.0,2.9057676592500004,35.7,11.2,11.899999999999999
73139.0,73703.0,0.788893276,31.9,12.8,13.649999999999999
15126.0,32228.0,0.355435791,44.3,18.8,38.55
10880.0,48998.0,0.255661867,38.3,15.4,20.799999999999997
8424.0,62792.0,0.54426315,33.5,10.7,10.75
127753.0,46843.0,2.9057676592500004,37.6,13.8,21.9
13632.0,76224.0,0.699465975,36.1,8.9,9.9
10808.0,60572.0,0.158628311,32.9,11.7,14.649999999999999
16683.0,42897.0,0.26069183,28.6,10.4,24.05
85219.0,53906.0,1.174655104,31.8,13.4,25.75
153337.625,56478.0,2.650962634,37.3,11.3,22.200000000000003
17171.0,37429.0,0.569198702,43.2,16.9,26.6
19389.0,44389.0,0.267257159,34.2,13.5,25.9
83442.0,45796.0,1.724194849,33.4,13.7,19.75
28206.0,60010.0,0.556374758,32.4,12.7,11.55
55207.0,52165.0,0.916224915,38.8,13.2,14.85
38520.0,48029.0,0.522780017,37.5,15.7,24.35
16622.0,44883.0,0.2582777,33.8,13.7,23.35
5171.0,49122.0,0.102973467,33.0,12.6,15.5
5013.0,47365.0,0.239328801,36.9,12.5,15.350000000000001
39138.0,51805.0,1.463267372,35.8,12.3,19.200000000000003
72290.0,33976.0,1.414455663,36.3,18.4,42.474999999999994
4377.0,28887.0,0.145092465,46.1,23.1,43.074999999999996
153337.625,50285.0,2.9057676592500004,35.0,14.1,17.4
2585.0,47288.0,0.132637877,31.1,13.9,16.2
29442.0,56978.0,0.673559852,37.9,10.1,10.35
10177.0,37755.0,0.202661181,40.0,14.5,28.4
35886.0,42457.0,0.714621122,38.7,14.3,26.2
21055.0,39633.0,0.69794879,41.7,16.4,31.7
38798.0,35070.0,1.31547488,41.2,17.6,33.55
22107.0,56503.0,0.269898406,27.3,12.7,17.8
1311.0,59064.0,0.023888813,36.5,13.2,17.4
16787.0,35020.0,0.2313913,40.5,17.1,39.4
52775.0,51393.0,0.901536014,29.4,9.7,16.0
10535.0,32167.0,0.349223011,45.5,19.2,40.65
37820.0,47425.0,0.555081673,38.2,12.1,23.95
15951.0,46176.0,0.761526771,37.8,13.5,22.1
17821.0,34648.0,0.4187638,38.4,16.8,29.6
8929.0,55322.0,0.333831937,36.5,10.6,13.649999999999999
16433.0,39254.0,0.339561539,34.8,15.5,38.25
20046.0,41127.0,0.585318657,37.9,16.4,28.75
153337.625,58398.0,2.9057676592500004,31.0,11.3,11.600000000000001
45754.0,39046.0,0.620957344,39.3,17.2,30.200000000000003
19383.0,55514.0,0.160383126,32.6,12.9,18.45
