MEDHHINC_2018,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Percent_Higher_Education,Child_Poverty_Index
48809.0,35.6,12.4,27.72917003948841,31.002977468377598,14.85
43328.0,37.1,14.0,27.069694864011506,33.81730851284302,21.35
38572.0,39.1,15.6,30.025762821028902,27.827872152000644,25.1
51487.0,31.9,13.2,27.97314578005115,31.812659846547316,16.55
54658.0,37.0,11.6,31.05963105963106,40.35464035464035,16.0
39545.0,37.4,15.6,26.160852913777045,31.67995031570231,33.5
56694.0,29.0,11.0,30.039679452267954,44.48611219170622,14.85
63631.0,36.2,10.7,15.813533495118234,30.04684237259439,12.85
42862.0,37.2,15.2,34.4593447631981,34.0689186895264,21.799999999999997
48814.0,37.5,15.1,27.280946901200064,32.311359526549396,24.75
43533.0,41.1,16.7,21.29526103036037,26.51586823772254,26.95
51058.0,36.5,12.1,34.515935057125674,34.21527360192423,15.75
40285.0,39.7,16.6,24.8991565823249,28.484386900228486,33.099999999999994
39522.0,35.0,13.0,33.17243569387107,36.51635439822166,25.950000000000003
47412.0,35.8,13.8,24.70550439066181,30.57399871492825,27.799999999999997
53811.0,37.8,12.0,28.51976397436711,38.144787767273655,16.6
45408.0,32.8,11.8,22.41965459408005,35.048275236843295,25.75
63681.0,32.4,12.2,27.409671433249645,36.554415456827854,12.2
48589.0,36.2,14.0,36.72136308188722,40.11332782434187,25.0
46365.0,39.0,14.5,41.064621528408054,42.99782174623344,20.55
45510.0,32.5,12.4,30.419837505974044,38.07580603654277,18.85
87377.0,33.4,8.1,18.00966637085714,40.897989717563014,4.15
41700.0,33.8,10.9,19.521954863148906,29.749773248679507,28.3
62657.0,32.3,12.1,30.77431927484669,42.93172188153684,14.6
57193.0,38.0,12.9,24.36256811607203,31.278451774942255,15.65
32597.0,41.5,19.9,30.184940554821665,32.39762219286658,37.349999999999994
47380.0,40.1,12.6,24.732787802862703,37.92680651438015,21.35
81061.0,27.2,9.6,25.04933004866911,49.380760680165835,7.65
46832.0,35.3,13.0,28.164279450453083,28.705057000876938,22.95
48370.0,35.8,12.6,24.544105069649934,40.09319426285108,27.35
49220.0,35.1,12.3,24.909895994233345,35.10795318024233,22.05
44290.0,39.0,18.8,32.798009500113096,28.930106310789416,26.6
38709.0,37.8,14.6,24.425770308123248,28.495398159263708,29.1
58465.0,38.7,10.5,23.196440634536096,35.174357660322855,15.35
40395.0,29.3,9.6,19.94553849796756,29.25135167133667,19.25
30570.0,37.0,16.9,26.833034261152612,23.640612611108793,38.599999999999994
52611.0,36.3,11.0,18.174954652464205,42.157047200030874,19.6
51812.0,35.2,12.4,16.94451234417013,29.528232705939867,17.049999999999997
42282.0,31.2,10.2,23.37999392584003,34.619950854523864,14.5
75663.0,32.7,10.6,21.50602437565772,47.77684544312424,8.55
59323.0,34.9,11.4,26.294007438270743,32.97726573641677,15.600000000000001
56166.0,35.4,12.9,22.8660704262246,27.837443400815776,18.799999999999997
34297.0,41.0,18.4,24.792139077853363,18.6885865457294,35.400000000000006
60044.0,34.1,11.6,22.1329896040575,40.29254350323647,13.3
32715.0,37.1,16.0,30.162412993039446,27.182806203443644,36.45
36132.0,43.2,19.3,26.424600416956217,23.940236275191104,35.05
67220.0,38.7,13.1,25.687409551374817,35.35938253738543,12.9
43696.0,37.3,14.4,26.002245929253228,28.770353733857384,22.0
72451.0,34.9,11.1,19.878982025271398,33.386723616301836,10.100000000000001
73619.0,29.1,8.6,15.669861959530918,41.2176295490412,10.05
46706.0,37.1,13.0,27.911019297626844,28.195697082682518,22.25
48010.0,35.6,14.9,28.6981475514061,37.86937929472832,22.950000000000003
45434.0,36.6,14.9,26.30785892546028,30.894194095211187,24.35
68106.0,30.4,9.7,16.694167164016086,36.25228683213774,10.850000000000001
84213.0,20.9,9.2,23.19119068020638,46.05932435142477,14.1
26449.0,48.9,21.9,21.047554193621608,21.439110203155145,44.3
87336.0,27.4,9.5,20.558707364960505,45.280181270261636,9.8
61987.0,36.0,12.7,17.35502711722987,27.805590321234874,13.35
40077.0,36.1,14.4,23.807374165195107,38.965970498028334,32.8
63772.0,31.4,9.2,22.097156398104264,33.56042654028436,12.7
60450.0,34.7,13.8,30.357277171869125,36.352012034599475,15.25
