TOT_POP,MEDHHINC_2018,Total Hospitals (2019),Obesity_prevalence,diabetes_prevalence,Child_Poverty_Index
0.9264250480422037,0.4171302263150514,0.7594599286182115,0.5878962536023056,0.3230769230769231,0.3077866339668915
0.5344953222601664,0.31952559984507206,0.30382834040742934,0.6311239193083575,0.4051282051282052,0.4671980380134887
0.16117700339049437,0.23483163825207404,0.2644151095763664,0.6887608069164266,0.48717948717948717,0.5591661557326794
0.2032044455868493,0.46481955119857715,0.21158848411856807,0.48126801152737747,0.3641025641025641,0.3494788473329246
0.04465823735092637,0.5212881281984503,0.08910796808884647,0.628242074927954,0.2820512820512821,0.3359901900674433
0.3143441168190553,0.2521586409076642,0.16857305783024792,0.6397694524495676,0.48717948717948717,0.7651747394236664
0.4185314385732995,0.5575448367357387,0.18709109679183752,0.39769452449567727,0.25128205128205133,0.3077866339668915
0.23034798467545503,0.6810776398414216,0.20758012268274112,0.6051873198847264,0.2358974358974359,0.2587369711833231
0.11437757296090935,0.3112271586965571,0.06765998561051856,0.634005763688761,0.4666666666666666,0.47823421213979145
0.07842772453355201,0.4172192653831685,0.07541066557915849,0.6426512968299711,0.4615384615384615,0.5505824647455548
0.07490911761465868,0.3231762016378737,0.0441868518517032,0.7463976945244957,0.5435897435897437,0.6045370938074801
0.0315760698825363,0.4571799991541288,0.03794293526595764,0.6138328530259367,0.30769230769230765,0.3298589822194973
0.2304328490352799,0.265336422988997,0.4038548329425706,0.7060518731988474,0.5384615384615385,0.7553648068669526
0.20457533139940515,0.25174906119432555,0.2746068302005528,0.5706051873198847,0.35384615384615387,0.5800122624156959
0.05996646225779997,0.39225271068313,0.20687087553859596,0.5936599423631124,0.39487179487179497,0.6253832004904966
0.10189598403897232,0.5062049100594113,0.2020300491654611,0.6512968299711814,0.30256410256410265,0.35070508890251384
0.14302255841564768,0.3565658521817911,0.2209386588482691,0.5072046109510087,0.29230769230769243,0.575107296137339
0.23822078605613287,0.6819680305225926,0.1413134456726637,0.4956772334293948,0.31282051282051276,0.2427958307786634
0.16490450719511052,0.41321250731789844,0.12515580142588714,0.6051873198847264,0.4051282051282052,0.5567136725935009
