MEDHHINC_2018,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Percent_Higher_Education,Child_Poverty_Index
0.2088333363051192,0.5878962536023056,0.3230769230769231,0.35000631616265604,0.3219475818379262,0.19278033794162824
0.1599682613269618,0.6311239193083575,0.4051282051282052,0.33892569467259126,0.36904469605660933,0.2926267281105991
0.11756682060517448,0.6887608069164266,0.48717948717948717,0.3885940845508486,0.2688130019398611,0.35023041474654376
0.23270866394451079,0.48126801152737747,0.3641025641025641,0.35410564079906715,0.33549741049809995,0.21889400921658986
0.26097926287823403,0.628242074927954,0.2820512820512821,0.4059653261813862,0.4784452816927763,0.21044546850998463
0.1262414635451028,0.6397694524495676,0.48717948717948717,0.32365516741194367,0.3332765502533869,0.4792626728110599
0.27913093094164004,0.39769452449567727,0.25128205128205133,0.38882791431262126,0.547584412067726,0.19278033794162824
0.34097676657810744,0.6051873198847264,0.2358974358974359,0.1497976301179239,0.30594690419797693,0.16205837173579107
0.155813704687695,0.634005763688761,0.4666666666666666,0.4630879323455544,0.37325532836766745,0.29953917050691237
0.20887791309309417,0.6426512968299711,0.4615384615384615,0.3424751897106702,0.34384302280126805,0.34485407066052226
0.16179590963393542,0.7463976945244957,0.5435897435897437,0.24190261024209453,0.24685695013578046,0.37864823348694315
0.22888397553625878,0.6138328530259367,0.30769230769230765,0.46403877272642163,0.37570454060203534,0.20660522273425497
0.13283882816539772,0.7060518731988474,0.5384615384615385,0.30245591685013956,0.2797996092703466,0.47311827956989233
0.12603641032041796,0.5706051873198847,0.35384615384615387,0.44146505278980414,0.4142125424601549,0.3632872503840246
0.1963785817449138,0.5936599423631124,0.39487179487179497,0.2992021376082016,0.3147687315074635,0.3917050691244239
0.2534279549952749,0.6512968299711814,0.30256410256410265,0.3632900188257575,0.4414639607076926,0.2196620583717358
0.17851220512454752,0.5072046109510087,0.29230769230769243,0.26079487480145885,0.38964461109277787,0.3602150537634408
0.34142253445785714,0.4956772334293948,0.31282051282051276,0.34463804264155673,0.4148494845952975,0.15207373271889396
0.20687195763422073,0.6051873198847264,0.4051282051282052,0.5010947743390552,0.4744069778748167,0.34869431643625187
0.187044202342956,0.6858789625360231,0.43076923076923085,0.5740709903802759,0.5226782500016638,0.2803379416282642
0.17942157159923683,0.4985590778097983,0.3230769230769231,0.3952153988702783,0.4403095689890552,0.25422427035330264
0.5526808480288143,0.5244956772334293,0.10256410256410259,0.186697452951062,0.48753809508320595,0.028417818740399392
0.14545405916231297,0.5360230547550431,0.24615384615384622,0.21210719844261577,0.300975527967246,0.39938556067588327
0.3322932082805841,0.4927953890489913,0.30769230769230765,0.4011714658339301,0.5215720855781225,0.18894009216589858
0.2835796943815417,0.6570605187319885,0.34871794871794876,0.29344006013319374,0.32655757429283044,0.20506912442396313
0.06429755897509049,0.7579250720461095,0.7076923076923076,0.3912686176999219,0.3452866065816262,0.5384024577572963
0.196093290301874,0.7175792507204612,0.3333333333333333,0.29966055844767725,0.4378160998829163,0.2926267281105991
0.49637144945883777,0.345821325648415,0.17948717948717952,0.3049791586646746,0.6294951095937431,0.08218125960061444
0.19120767433981778,0.579250720461095,0.35384615384615387,0.3573171033900571,0.28349246727840743,0.3172043010752688
0.20491949432091722,0.5936599423631124,0.3333333333333333,0.2964902769478017,0.4740700478441347,0.3847926267281106
0.2124975482766614,0.5734870317002883,0.317948717948718,0.3026363623965505,0.3906433062967866,0.3033794162826421
0.1685448353333452,0.6858789625360231,0.6512820512820514,0.43517387598243223,0.2872586102396727,0.37327188940092165
0.11878822459568855,0.6512968299711814,0.43589743589743596,0.2945019948253608,0.2799838798896446,0.4116743471582181
0.29492002924237287,0.6772334293948128,0.22564102564102567,0.2738465747184955,0.39175456838130035,0.20046082949308752
0.13381951750084697,0.4063400576368877,0.17948717948717952,0.219224327489084,0.29263456964134643,0.26036866359447003
0.04622612913003937,0.628242074927954,0.5538461538461539,0.3349492803064347,0.19874027853069542,0.5576036866359445
