TOT_POP,White-alone pop,MEDHHINC_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),Population Aged 60+,COUNTY_NAME,STATE_NAME,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Racial_Diversity_Index,Percent_Higher_Education,Minority_Population,Child_Poverty_Index
178435,147080,60044,255.0,1.924638999,34692,1221,33,34.1,11.6,22.1329896040575,2,40.29254350323647,31355,13.3
8189,7811,32715,273.1,0.163072852,2279,1023,25,37.1,16.0,30.162412993039446,1,27.182806203443644,378,36.45
11512,5681,36132,207.6,0.336136305,3044,125,3,43.2,19.3,26.424600416956217,2,23.940236275191104,5831,35.05
4146,3953,67220,227.6,0.197936806,1016,656,16,38.7,13.1,25.687409551374817,1,35.35938253738543,193,12.9
17810,16839,43696,207.6,0.520030194,4640,29,3,37.3,14.4,26.002245929253228,1,28.770353733857384,971,22.0
5619,5079,72451,224.8,0.102388435,1074,1566,43,34.9,11.1,19.878982025271398,2,33.386723616301836,540,10.100000000000001
1152633,1005344,73619,216.2,19.69000777,164497,1667,44,29.1,8.6,15.669861959530918,1,41.2176295490412,147289,10.05
79388,75621,46706,320.5,1.23355493,21111,1384,38,37.1,13.0,27.911019297626844,1,28.195697082682518,3767,22.25
229642,184594,48010,292.7,3.811178327,62316,1300,35,35.6,14.9,28.6981475514061,2,37.86937929472832,45048,22.950000000000003
63711,57950,45434,217.1,1.316485439,16386,63,0,36.6,14.9,26.30785892546028,2,30.894194095211187,5761,24.35
256359,236610,68106,216.2,4.37928699,38967,1673,44,30.4,9.7,16.694167164016086,1,36.25228683213774,19749,10.850000000000001
274255,238965,84213,279.6,2.489001517,57232,106,4,20.9,9.2,23.19119068020638,2,46.05932435142477,35290,14.1
17622,2855,26449,191.3,0.584148828,3568,312,24,48.9,21.9,21.047554193621608,2,21.439110203155145,14767,44.3
700832,568343,87336,284.4,10.28606555,131932,182,13,27.4,9.5,20.558707364960505,3,45.280181270261636,132489,9.8
4794,4419,61987,224.8,0.08735543,798,1537,43,36.0,12.7,17.35502711722987,1,27.805590321234874,375,13.35
75317,40371,40077,191.3,2.496671053,17686,38,24,36.1,14.4,23.807374165195107,2,38.965970498028334,34946,32.8
3376,3296,63772,240.4,0.218118755,758,1453,41,31.4,9.2,22.097156398104264,1,33.56042654028436,80,12.7
13295,11559,60450,263.2,0.149843531,3779,44,46,34.7,13.8,30.357277171869125,2,36.352012034599475,1736,15.25
16291,15552,49200,264.9,0.372697627,4623,122,49,34.8,11.4,30.869805414032285,1,36.345221287827634,739,18.75
31166,30389,45817,287.0,0.448973806,10169,853,22,36.4,13.1,33.88307771289226,1,34.768658153115574,777,17.75
17833,13497,56800,263.2,0.200989823,4585,1733,46,35.1,12.1,25.480850109347834,2,40.13906801996299,4336,17.2
4358,597,37002,237.6,0.223611555,542,617,34,42.7,18.2,12.023864157870582,2,28.178063331803582,3761,34.95
40085,36960,57709,375.1,0.340499378,9523,1185,32,38.0,11.6,25.17400523886741,2,35.576899089434946,3125,12.0
4757,4656,40866,273.1,0.094729217,1486,327,25,36.8,14.3,31.97393315114568,1,34.01303342442716,101,22.2
465861,410842,48763,279.6,4.227921954,69266,217,4,35.0,13.1,16.104803793406187,1,25.276638310569034,55019,28.200000000000003
11327,9653,97525,449.5,0.123081232,2283,828,21,26.5,8.1,21.108854948353493,2,54.46278802860422,1674,5.5
12383,11921,44183,230.9,0.290979863,2815,693,17,44.6,16.3,23.330372284583703,1,23.2496164095938,462,32.6
49045,39042,42720,253.1,0.833111768,11692,547,42,39.7,15.1,24.422469160974618,2,31.2121521052095,10003,21.450000000000003
65691,60984,55174,284.4,0.964142522,16968,222,13,33.8,11.1,27.06611255727573,1,40.84882251754426,4707,15.100000000000001
162682,144706,88709,352.1,1.457126263,41372,280,6,27.1,9.0,28.08608204964286,2,49.71416628760404,17976,7.699999999999999
96493,83436,53360,224.8,1.758278571,19359,1572,43,37.0,12.9,22.142538837014083,2,31.65514596913766,13057,20.05
20388,19460,47284,230.9,0.479084022,5162,699,17,39.8,15.5,26.711791249754757,1,25.814204433980777,928,23.15
49568,48252,66502,230.8,0.977748847,11201,542,14,34.1,12.2,24.737734021949645,1,34.768398967075534,1316,11.45
2036,322,25973,240.4,0.131543183,240,1068,41,45.6,18.1,13.113948919449903,2,20.38310412573674,1714,50.849999999999994
601651,558385,68483,306.5,5.537999802,167321,1130,30,27.3,11.3,29.232561734294464,1,39.18118643532546,43266,15.700000000000001
17366,16576,36032,207.6,0.507065938,5487,159,3,39.3,16.9,33.86502360935161,1,29.54623977887827,790,33.45
112664,88161,89964,386.0,0.932229503,18983,817,20,36.2,10.8,18.804587090818718,2,39.10477171057303,24503,10.3
5191,4787,48018,224.8,0.094589494,1286,441,43,36.4,14.4,26.603737237526488,1,36.77518782508187,404,20.4
14147,13599,48448,264.9,0.323648231,4413,1620,49,34.7,12.7,32.97518908602531,1,33.32155227256662,548,22.299999999999997
442,406,42153,224.8,0.008054047,89,1579,43,40.8,19.8,22.850678733031675,1,11.76470588235294,36,18.0
30725,28275,42624,303.4,0.447232965,6727,1367,37,35.9,13.7,22.125305126118796,1,32.45565500406835,2450,28.6
39135,35950,41873,230.9,0.919607278,8253,702,17,34.9,12.4,22.88744090967165,1,34.782164303053534,3185,22.65
17069,16677,61342,218.2,0.63816523,4418,543,15,39.2,11.3,27.1193391528502,1,33.42902337571035,392,11.7
34844,32735,51258,284.4,0.511403115,9382,128,13,34.0,11.9,27.59442084720468,1,39.28366433245322,2109,19.45
43208,40046,50637,264.9,0.988491749,10444,240,49,35.6,10.0,26.39557489353823,1,44.503332716163676,3162,13.600000000000001
25220,13947,37834,253.1,0.428404094,6150,1484,42,43.0,18.0,24.51625693893735,2,22.644726407613007,11273,28.15
4897,4667,63790,227.6,0.233790771,1338,155,16,36.4,11.9,25.607514804982646,1,36.0424749846845,230,12.5
2374,2268,41295,237.6,0.121811343,877,130,34,35.5,13.7,37.48946925021062,1,40.35383319292334,106,20.0
16024,15611,40691,263.4,0.496914442,4386,473,48,43.8,15.6,27.733399900149774,1,27.08437343984024,413,24.6
151132,142168,74351,315.1,3.119666071,34833,1119,29,27.0,9.8,25.775481036444965,1,46.15832517269672,8964,8.8
314305,291084,75629,285.7,4.911391567,48279,276,5,28.8,8.9,17.631599879098328,1,36.36213232369832,23221,12.85
21485,18342,53785,224.8,0.391495913,3264,1226,43,38.3,13.7,15.997207353967886,2,25.26879218059111,3143,16.6
49388,44311,49265,303.4,0.718891511,17261,138,37,32.6,13.9,38.35952053130315,1,47.055965011743744,5077,19.8
6833,2520,28298,228.7,0.094185784,2258,55,10,41.5,23.0,32.06497877945266,2,26.415922727937946,4313,45.0
6352,2306,33393,228.7,0.0875557,1362,7,10,42.5,19.3,21.898614609571787,2,26.19647355163728,4046,39.5
42555,40767,75421,264.9,0.97355273,8070,413,49,32.6,8.0,21.221948067207144,1,38.15062859828458,1788,6.449999999999999
954670,610840,48409,230.8,18.83125185,160942,46,14,33.1,12.2,18.30852545905915,2,37.55350016235977,343830,23.65
355642,233979,54292,224.8,6.480446327,47766,694,43,34.1,11.1,15.443901451459613,2,37.61591713014773,121663,18.9
143477,118639,52642,284.4,2.105802569,35994,525,13,34.6,11.6,26.302473567191953,2,41.06720937850666,24838,21.45
321128,237815,53377,265.2,3.271689408,87591,329,9,33.8,14.9,31.142410502977008,2,36.01243118009018,83313,18.35
42647,40429,51939,218.2,1.594459697,12003,588,15,36.3,10.8,29.55893732267217,1,44.73937205430628,2218,12.8
46176,22412,46049,191.3,1.530680757,10588,438,24,40.8,15.5,23.67896742896743,2,38.26446638946639,23764,30.65
69611,63562,51656,244.8,1.362037254,10775,1144,31,36.8,11.7,16.43849391619141,1,24.431483529901886,6049,17.299999999999997
16939,13396,68724,263.2,0.190913846,3605,1709,46,35.6,11.5,22.457051774012633,2,36.15915933644253,3543,9.8
51859,41163,72111,263.2,0.584485573,10197,1694,46,34.8,11.7,21.944117703773696,2,35.77392545170559,10696,10.95
4165,1252,34024,240.4,0.269094969,665,1443,41,46.8,18.4,16.854741896758703,2,27.13085234093637,2913,39.05
6392,6225,51280,284.4,0.093814967,1759,497,13,35.4,11.3,29.00500625782228,1,40.096996245306634,167,14.05
48518,42857,66056,230.9,1.14009214,9425,58,17,35.3,13.0,21.717713013726865,2,35.57030380477349,5661,13.0
232274,190329,53419,255.0,2.505358247,48907,1228,33,30.3,10.5,24.15121795810121,2,46.920877928653226,41945,19.65
14040,10870,51241,228.7,0.193526768,3116,395,10,34.8,15.9,24.686609686609685,2,26.652421652421655,3170,23.3
295032,235430,60627,229.5,4.004071495,59280,1427,40,31.3,11.1,22.26809295262887,2,40.62372895143578,59602,16.75
104954,95989,71374,273.1,2.090016865,22296,488,25,32.3,10.5,23.37500238199592,1,39.16763534500829,8965,10.45
